weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
7,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-01-31,Hardcover Fiction
22,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-01-31,Hardcover Fiction
1,Del Rey,STAR WARS: LIGHT OF THE JEDI,Charles Soule,by Charles Soule,,2021-01-24,Hardcover Fiction
1,Delacorte,NEIGHBORS,Danielle Steel,by Danielle Steel,,2021-01-24,Hardcover Fiction
32,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-24,Hardcover Fiction
1,St. Martin's,THE WIFE UPSTAIRS,Rachel Hawkins,by Rachel Hawkins,,2021-01-24,Hardcover Fiction
123,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-24,Hardcover Fiction
1,Bloomsbury,OUTLAWED,Anna North,by Anna North,,2021-01-24,Hardcover Fiction
15,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-24,Hardcover Fiction
1,Putnam,THE PROPHETS,Robert Jones Jr,by Robert Jones Jr.,,2021-01-24,Hardcover Fiction
13,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-24,Hardcover Fiction
17,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-01-24,Hardcover Fiction
7,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-24,Hardcover Fiction
2,Sourcebooks Landmark,THE MYSTERY OF MRS. CHRISTIE,Marie Benedict,by Marie Benedict,,2021-01-24,Hardcover Fiction
6,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-01-24,Hardcover Fiction
1,Pamela Dorman,THE PUSH,Ashley Audrain,by Ashley Audrain,,2021-01-24,Hardcover Fiction
1,Houghton Mifflin Harcourt,BLACK BUCK,Mateo Askaripour,by Mateo Askaripour,,2021-01-24,Hardcover Fiction
31,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-17,Hardcover Fiction
11,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-01-17,Hardcover Fiction
14,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-17,Hardcover Fiction
6,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-17,Hardcover Fiction
122,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-17,Hardcover Fiction
16,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-01-17,Hardcover Fiction
12,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-17,Hardcover Fiction
1,Sourcebooks Landmark,THE MYSTERY OF MRS. CHRISTIE,Marie Benedict,by Marie Benedict,,2021-01-17,Hardcover Fiction
5,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-01-17,Hardcover Fiction
6,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-01-17,Hardcover Fiction
7,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2021-01-17,Hardcover Fiction
21,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2021-01-17,Hardcover Fiction
6,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2021-01-17,Hardcover Fiction
1,Putnam,HUSH-HUSH,Stuart Woods,by Stuart Woods,,2021-01-17,Hardcover Fiction
10,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2021-01-17,Hardcover Fiction
11,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-10,Hardcover Fiction
5,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-10,Hardcover Fiction
30,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-10,Hardcover Fiction
13,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-10,Hardcover Fiction
5,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-01-10,Hardcover Fiction
121,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-10,Hardcover Fiction
20,Scribner,IF IT BLEEDS,Stephen King,by Stephen King,,2021-01-10,Hardcover Fiction
6,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2021-01-10,Hardcover Fiction
9,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2021-01-10,Hardcover Fiction
15,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2021-01-10,Hardcover Fiction
5,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2021-01-10,Hardcover Fiction
7,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2021-01-10,Hardcover Fiction
10,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-01-10,Hardcover Fiction
8,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2021-01-10,Hardcover Fiction
12,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2021-01-10,Hardcover Fiction
10,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2021-01-03,Hardcover Fiction
4,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2021-01-03,Hardcover Fiction
4,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2021-01-03,Hardcover Fiction
12,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2021-01-03,Hardcover Fiction
29,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-01-03,Hardcover Fiction
120,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-01-03,Hardcover Fiction
5,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2021-01-03,Hardcover Fiction
8,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2021-01-03,Hardcover Fiction
4,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2021-01-03,Hardcover Fiction
6,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2021-01-03,Hardcover Fiction
19,Scribner,IF IT BLEEDS,Stephen King,by Stephen King,,2021-01-03,Hardcover Fiction
7,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2021-01-03,Hardcover Fiction
4,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-01-03,Hardcover Fiction
9,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-01-03,Hardcover Fiction
11,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2021-01-03,Hardcover Fiction
3,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2020-12-27,Hardcover Fiction
9,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-12-27,Hardcover Fiction
3,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2020-12-27,Hardcover Fiction
11,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-12-27,Hardcover Fiction
28,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-12-27,Hardcover Fiction
4,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2020-12-27,Hardcover Fiction
119,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-12-27,Hardcover Fiction
5,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2020-12-27,Hardcover Fiction
3,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2020-12-27,Hardcover Fiction
7,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-12-27,Hardcover Fiction
6,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2020-12-27,Hardcover Fiction
14,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-12-27,Hardcover Fiction
3,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2020-12-27,Hardcover Fiction
1,Knopf,HAMNET,Maggie O'Farrell,by Maggie O'Farrell,,2020-12-27,Hardcover Fiction
10,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-12-27,Hardcover Fiction
2,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2020-12-20,Hardcover Fiction
8,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-12-20,Hardcover Fiction
2,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2020-12-20,Hardcover Fiction
10,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-12-20,Hardcover Fiction
3,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2020-12-20,Hardcover Fiction
27,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-12-20,Hardcover Fiction
4,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2020-12-20,Hardcover Fiction
6,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-12-20,Hardcover Fiction
2,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2020-12-20,Hardcover Fiction
5,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2020-12-20,Hardcover Fiction
118,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-12-20,Hardcover Fiction
3,Tor,RHYTHM OF WAR,Brandon Sanderson,by Brandon Sanderson,,2020-12-20,Hardcover Fiction
13,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-12-20,Hardcover Fiction
8,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-12-20,Hardcover Fiction
7,Viking,THE SEARCHER,Tana French,by Tana French,,2020-12-20,Hardcover Fiction
1,Ballantine,READY PLAYER TWO,Ernest Cline,by Ernest Cline,,2020-12-13,Hardcover Fiction
1,"Little, Brown",DEADLY CROSS,James Patterson,by James Patterson,,2020-12-13,Hardcover Fiction
9,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-12-13,Hardcover Fiction
7,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-12-13,Hardcover Fiction
2,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2020-12-13,Hardcover Fiction
1,St. Martin's,THE AWAKENING,Nora Roberts,by Nora Roberts,,2020-12-13,Hardcover Fiction
3,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2020-12-13,Hardcover Fiction
2,Tor,RHYTHM OF WAR,Brandon Sanderson,by Brandon Sanderson,,2020-12-13,Hardcover Fiction
5,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-12-13,Hardcover Fiction
26,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-12-13,Hardcover Fiction
4,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2020-12-13,Hardcover Fiction
117,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-12-13,Hardcover Fiction
12,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-12-13,Hardcover Fiction
7,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-12-13,Hardcover Fiction
2,Delacorte,ALL THAT GLITTERS,Danielle Steel,by Danielle Steel,,2020-12-13,Hardcover Fiction
1,Tor,RHYTHM OF WAR,Brandon Sanderson,by Brandon Sanderson,,2020-12-06,Hardcover Fiction
1,Grand Central,DAYLIGHT,David Baldacci,by David Baldacci,,2020-12-06,Hardcover Fiction
6,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-12-06,Hardcover Fiction
2,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2020-12-06,Hardcover Fiction
8,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-12-06,Hardcover Fiction
1,Delacorte,ALL THAT GLITTERS,Danielle Steel,by Danielle Steel,,2020-12-06,Hardcover Fiction
4,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-12-06,Hardcover Fiction
3,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2020-12-06,Hardcover Fiction
1,Putnam,TOM CLANCY: SHADOW OF THE DRAGON,Marc Cameron,by Marc Cameron,,2020-12-06,Hardcover Fiction
1,Simon & Schuster,PIECE OF MY HEART,Mary Higgins Clark and Alafair Burke,by Mary Higgins Clark and Alafair Burke,,2020-12-06,Hardcover Fiction
2,Simon & Schuster,I WOULD LEAVE ME IF I COULD,Halsey,by Halsey,,2020-12-06,Hardcover Fiction
25,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-12-06,Hardcover Fiction
116,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-12-06,Hardcover Fiction
11,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-12-06,Hardcover Fiction
2,Putnam,MARAUDER,Clive Cussler and Boyd Morrison,by Clive Cussler and Boyd Morrison,,2020-12-06,Hardcover Fiction
1,"Little, Brown",THE LAW OF INNOCENCE,Michael Connelly,by Michael Connelly,,2020-11-29,Hardcover Fiction
1,Simon & Schuster,I WOULD LEAVE ME IF I COULD,Halsey,by Halsey,,2020-11-29,Hardcover Fiction
5,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-11-29,Hardcover Fiction
7,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-11-29,Hardcover Fiction
3,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-11-29,Hardcover Fiction
2,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2020-11-29,Hardcover Fiction
1,Putnam,MARAUDER,Clive Cussler and Boyd Morrison,by Clive Cussler and Boyd Morrison,,2020-11-29,Hardcover Fiction
1,Harper,MOONFLOWER MURDERS,Anthony Horowitz,by Anthony Horowitz,,2020-11-29,Hardcover Fiction
10,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-11-29,Hardcover Fiction
115,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-11-29,Hardcover Fiction
24,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-11-29,Hardcover Fiction
8,Ballantine,THE BOOK OF TWO WAYS,Jodi Picoult,by Jodi Picoult,,2020-11-29,Hardcover Fiction
6,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-11-29,Hardcover Fiction
9,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-11-29,Hardcover Fiction
6,Viking,THE SEARCHER,Tana French,by Tana French,,2020-11-29,Hardcover Fiction
1,Atria,FORTUNE AND GLORY,Janet Evanovich,by Janet Evanovich,,2020-11-22,Hardcover Fiction
4,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-11-22,Hardcover Fiction
2,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-11-22,Hardcover Fiction
6,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-11-22,Hardcover Fiction
5,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-11-22,Hardcover Fiction
2,"Little, Brown",THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,by James Patterson and Shan Serafin,,2020-11-22,Hardcover Fiction
23,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-11-22,Hardcover Fiction
8,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-11-22,Hardcover Fiction
2,Random House,THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,by Fannie Flagg,,2020-11-22,Hardcover Fiction
7,Ballantine,THE BOOK OF TWO WAYS,Jodi Picoult,by Jodi Picoult,,2020-11-22,Hardcover Fiction
114,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-11-22,Hardcover Fiction
9,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-11-22,Hardcover Fiction
1,Simon & Schuster,WHITE IVY,Susie Yang,by Susie Yang,,2020-11-22,Hardcover Fiction
5,Viking,THE SEARCHER,Tana French,by Tana French,,2020-11-22,Hardcover Fiction
5,Ecco,LEAVE THE WORLD BEHIND,Rumaan Alam,by Rumaan Alam,,2020-11-22,Hardcover Fiction
1,Delacorte,THE SENTINEL,Lee Child and Andrew Child,by Lee Child and Andrew Child,,2020-11-15,Hardcover Fiction
3,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-11-15,Hardcover Fiction
5,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-11-15,Hardcover Fiction
1,"Little, Brown",THREE WOMEN DISAPPEAR,James Patterson and Shan Serafin,by James Patterson and Shan Serafin,,2020-11-15,Hardcover Fiction
1,Random House,THE WONDER BOY OF WHISTLE STOP,Fannie Flagg,by Fannie Flagg,,2020-11-15,Hardcover Fiction
4,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-11-15,Hardcover Fiction
1,Gallery,THE NOEL LETTERS,Richard Paul Evans,by Richard Paul Evans,,2020-11-15,Hardcover Fiction
1,Atria,"TRULY, MADLY, DEEPLY",Karen Kingsbury,by Karen Kingsbury,,2020-11-15,Hardcover Fiction
7,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-11-15,Hardcover Fiction
4,Viking,THE SEARCHER,Tana French,by Tana French,,2020-11-15,Hardcover Fiction
6,Ballantine,THE BOOK OF TWO WAYS,Jodi Picoult,by Jodi Picoult,,2020-11-15,Hardcover Fiction
4,Ecco,LEAVE THE WORLD BEHIND,Rumaan Alam,by Rumaan Alam,,2020-11-15,Hardcover Fiction
22,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-11-15,Hardcover Fiction
8,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-11-15,Hardcover Fiction
113,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-11-15,Hardcover Fiction
2,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-11-08,Hardcover Fiction
4,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-11-08,Hardcover Fiction
3,Viking,THE SEARCHER,Tana French,by Tana French,,2020-11-08,Hardcover Fiction
3,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-11-08,Hardcover Fiction
6,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-11-08,Hardcover Fiction
5,Ballantine,THE BOOK OF TWO WAYS,Jodi Picoult,by Jodi Picoult,,2020-11-08,Hardcover Fiction
7,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-11-08,Hardcover Fiction
21,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-11-08,Hardcover Fiction
3,Ecco,LEAVE THE WORLD BEHIND,Rumaan Alam,by Rumaan Alam,,2020-11-08,Hardcover Fiction
3,"Little, Brown",TROUBLES IN PARADISE,Elin Hilderbrand,by Elin Hilderbrand,,2020-11-08,Hardcover Fiction
112,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-11-08,Hardcover Fiction
2,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2020-11-08,Hardcover Fiction
20,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2020-11-08,Hardcover Fiction
1,Scribner,THE SILENCE,Don DeLillo,by Don DeLillo,,2020-11-08,Hardcover Fiction
1,Del Rey,THE LAST DRUID,Terry Brooks,by Terry Brooks,,2020-11-08,Hardcover Fiction
1,Doubleday,A TIME FOR MERCY,John Grisham,by John Grisham,,2020-11-01,Hardcover Fiction
3,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-11-01,Hardcover Fiction
2,Viking,THE SEARCHER,Tana French,by Tana French,,2020-11-01,Hardcover Fiction
5,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-11-01,Hardcover Fiction
2,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-11-01,Hardcover Fiction
4,Ballantine,THE BOOK OF TWO WAYS,Jodi Picoult,by Jodi Picoult,,2020-11-01,Hardcover Fiction
2,Ecco,LEAVE THE WORLD BEHIND,Rumaan Alam,by Rumaan Alam,,2020-11-01,Hardcover Fiction
2,"Little, Brown",TROUBLES IN PARADISE,Elin Hilderbrand,by Elin Hilderbrand,,2020-11-01,Hardcover Fiction
20,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-11-01,Hardcover Fiction
1,Ballantine,JINGLE ALL THE WAY,Debbie Macomber,by Debbie Macomber,,2020-11-01,Hardcover Fiction
111,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2020-11-01,Hardcover Fiction
1,Atria,INVISIBLE GIRL,Lisa Jewell,by Lisa Jewell,,2020-11-01,Hardcover Fiction
4,"Little, Brown",THE COAST-TO-COAST MURDERS,James Patterson and JD Barker,by James Patterson and J.D. Barker,,2020-11-01,Hardcover Fiction
6,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-11-01,Hardcover Fiction
19,Morrow,THE GUEST LIST,Lucy Foley,by Lucy Foley,,2020-11-01,Hardcover Fiction
2,Grand Central,THE RETURN,Nicholas Sparks,by Nicholas Sparks,,2020-10-25,Hardcover Fiction
1,"Little, Brown",TROUBLES IN PARADISE,Elin Hilderbrand,by Elin Hilderbrand,,2020-10-25,Hardcover Fiction
1,Ecco,LEAVE THE WORLD BEHIND,Rumaan Alam,by Rumaan Alam,,2020-10-25,Hardcover Fiction
1,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2020-10-25,Hardcover Fiction
1,Viking,THE SEARCHER,Tana French,by Tana French,,2020-10-25,Hardcover Fiction
1,Simon & Schuster,MAGIC LESSONS,Alice Hoffman,by Alice Hoffman,,2020-10-25,Hardcover Fiction
4,Viking,THE EVENING AND THE MORNING,Ken Follett,by Ken Follett,,2020-10-25,Hardcover Fiction
3,Ballantine,THE BOOK OF TWO WAYS,Jodi Picoult,by Jodi Picoult,,2020-10-25,Hardcover Fiction
5,Atria,ANXIOUS PEOPLE,Fredrik Backman,by Fredrik Backman,,2020-10-25,Hardcover Fiction
19,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2020-10-25,Hardcover Fiction
3,"Little, Brown",THE COAST-TO-COAST MURDERS,James Patterson and JD Barker,by James Patterson and J.D. Barker,,2020-10-25,Hardcover Fiction
